99	0	1
97	1	1
91	2	1
90	3	1
93	4	1
99	5	1
105	6	1
108	7	1
108	8	1
108	9	1
106	10	1
105	11	1
107	12	1
112	13	1
112	14	1
112	15	1
114	16	1
118	17	1
119	18	1
122	19	1
127	20	1
129	21	1
129	22	1
132	23	1
133	24	1
138	25	1
148	26	1
144	27	1
143	28	1
142	29	1
142	30	1
146	31	1
146	32	1
144	33	1
144	34	1
146	35	1
151	36	1
155	37	1
158	38	1
157	39	1
162	40	1
162	41	1
172	42	1
170	43	1
173	44	1
177	45	1
183	46	1
187	47	1
193	48	1
195	49	1
194	50	1
197	51	1
200	52	1
203	53	1
208	54	1
209	55	1
208	56	1
215	57	1
213	58	1
219	59	1
220	60	1
220	61	1
227	62	1
229	63	1
234	64	1
241	65	1
249	66	1
249	67	1
242	68	1
241	69	1
256	70	1
255	71	1
257	72	1
261	73	1
268	74	1
268	75	1
273	76	1
282	77	1
296	78	1
306	79	1
311	80	1
306	81	1
309	82	1
305	83	1
313	84	1
324	85	1
333	86	1
335	87	1
351	88	1
362	89	1
368	90	1
373	91	1
372	92	1
377	93	1
371	94	1
374	95	1
390	96	1
395	97	1
396	98	1
403	99	1
416	100	1
422	101	1
432	102	1
439	103	1
441	104	1
449	105	1
450	106	1
453	107	1
466	108	1
471	109	1
488	110	1
493	111	1
506	112	1
509	113	1
521	114	1
534	115	1
540	116	1
552	117	1
556	118	1
565	119	1
577	120	1
591	121	1
607	122	1
618	123	1
623	124	1
634	125	1
650	126	1
656	127	1
668	128	1
677	129	1
695	130	1
715	131	1
720	132	1
725	133	1
742	134	1
745	135	1
758	136	1
768	137	1
787	138	1
805	139	1
821	140	1
830	141	1
845	142	1
866	143	1
879	144	1
890	145	1
909	146	1
929	147	1
962	148	1
972	149	1
980	150	1
991	151	1
1005	152	1
1011	153	1
1037	154	1
1060	155	1
1069	156	1
1098	157	1
1126	158	1
1128	159	1
1136	160	1
1153	161	1
1154	162	1
1175	163	1
1216	164	1
1234	165	1
1259	166	1
1286	167	1
1313	168	1
1340	169	1
1346	170	1
1367	171	1
1385	172	1
1409	173	1
1437	174	1
1458	175	1
1500	176	1
1523	177	1
1558	178	1
1595	179	1
1630	180	1
1664	181	1
1677	182	1
1710	183	1
1735	184	1
1757	185	1
1794	186	1
1851	187	1
1871	188	1
1912	189	1
1954	190	1
1982	191	1
2009	192	1
2048	193	1
2081	194	1
2120	195	1
2167	196	1
2212	197	1
2255	198	1
2303	199	1
2330	200	1
2353	201	1
2401	202	1
2404	203	1
2450	204	1
2514	205	1
2555	206	1
2604	207	1
2650	208	1
2698	209	1
2735	210	1
2801	211	1
2838	212	1
2897	213	1
2957	214	1
2988	215	1
